118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,66,67,67,68,118,118,118,118,118,118,118,118,118,118
118,118,118,118,118,21,118,118,118,118,118,118,118,118,118,118,66,67,67,68,118,118,118,118,118,21,118,118,118,118
118,118,118,21,39,118,118,118,118,21,118,118,118,118,21,118,66,67,67,68,118,118,118,118,118,118,39,118,118,118
118,118,118,118,118,118,118,21,118,118,118,145,145,145,145,118,66,67,67,68,118,118,118,39,118,118,118,118,118,118
118,118,21,118,118,118,118,118,118,118,118,145,145,145,145,118,66,67,67,68,118,118,118,118,166,118,118,39,118,118
118,118,118,21,118,118,118,118,57,118,24,145,145,145,145,118,66,67,67,68,118,118,118,118,118,118,118,118,118,118
118,118,118,118,118,118,118,118,118,118,118,118,59,118,118,118,66,67,67,68,118,118,20,118,118,118,118,21,118,118
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,67,67,67,68,118,118,118,118,118,61,118,118,61,118
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,68,118,118,118,118,118,118,92,92,118,118
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,68,118,118,118,118,118,118,92,92,118,118
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,84,118,118,118,118,118,61,118,118,61,118
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,118,118,118,118,118,118,118,118,118
145,145,145,145,145,145,145,118,118,118,118,118,118,118,145,118,118,118,118,118,118,118,21,21,118,17,118,118,118,118
145,145,145,145,145,145,145,118,118,118,166,118,118,118,145,118,118,118,118,118,166,118,118,118,118,118,118,118,118,118
145,145,145,145,145,145,145,118,118,118,21,118,118,118,118,118,21,118,118,118,118,118,118,118,118,118,118,118,118,118
145,145,145,145,145,145,145,118,145,145,118,118,118,118,166,118,118,118,118,145,118,118,118,118,145,145,118,118,21,118
145,145,145,145,145,145,145,118,145,145,118,118,118,118,118,49,118,118,118,145,118,118,21,118,145,145,118,118,118,118
145,145,145,145,145,145,145,118,118,118,118,118,118,118,118,118,118,118,118,145,118,118,118,118,118,118,118,118,118,118
118,118,118,118,118,118,118,118,118,118,118,118,118,118,21,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
